[2025-04-20 08:26:19]
mars_base_internal_temperature: 28
mars_base_external_temperature: 1
mars_base_internal_humidity: 57
mars_base_external_illuminance: 652
mars_base_internal_co2: 0.02
mars_base_internal_oxygen: 6.31

[2025-02-19 17:54:04]
mars_base_internal_temperature: 23mars_base_external_temperature: 9mars_base_internal_humidity: 60mars_base_external_illuminance: 692mars_base_internal_co2: 0.061mars_base_internal_oxygen: 5.03
[2025-07-23 22:38:44]
mars_base_internal_temperature: 23
mars_base_external_temperature: 18
mars_base_internal_humidity: 58
mars_base_external_illuminance: 680
mars_base_internal_co2: 0.043
mars_base_internal_oxygen: 5.84
[2025-10-11 19:19:32]
mars_base_internal_temperature: 23
mars_base_external_temperature: 5
mars_base_internal_humidity: 59
mars_base_external_illuminance: 669
mars_base_internal_co2: 0.078
mars_base_internal_oxygen: 5.17
